game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,7.62,0,1,1,1.827,13,0,715
0,1,1,0,13.695,0,0,16,2.517,16,0,671
0,1,2,0,5.164,0,1,1,0.779,10,0,753
0,0,3,0,2.41,0,2,8,0.808,1,0,913
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,0.0,0,2,10,0.0,10,1,753
0,0,2,0,0.809,0,2,10,0.644,2,0,753
1,1,0,0,6.744,0,1,3,1.126,7,0,710
1,0,1,0,8.093,0,1,14,0.611,3,0,732
1,0,0,0,13.056,0,0,13,0.927,4,0,715
2,1,0,0,7.123,0,1,5,2.306,16,0,671
2,1,1,0,7.419,0,1,5,1.187,20,0,667
2,1,2,0,1.676,0,2,5,0.968,6,0,661
2,0,3,0,1.972,0,2,7,0.635,5,0,710
