game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,0.0,0,2,19,0.0,0,1,584
0,1,2,0,0.0,0,2,1,0.0,19,1,584
0,2,3,0,15,0,0,,0,,0,
0,2,0,0,15,0,0,,0,,1,
0,1,1,0,6.601,0,1,2,1.2,15,2,311
0,2,2,0,15,0,0,,0,,2,
0,0,3,0,6.135,0,1,11,1.855,2,0,499
1,1,0,0,11.788,0,0,3,1.033,17,0,177
1,1,1,0,10.155,0,0,3,0.909,15,0,311
1,0,2,0,6.157,0,1,8,0.344,3,0,321
1,0,0,0,10.918,0,0,15,0.924,4,0,311
2,2,0,0,15,0,0,,0,,0,
2,0,1,0,0.0,0,2,17,0.0,5,0,177
