game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,13.714,0,0,9,0.953,1,0,698
0,1,0,0,7.406,0,1,2,0.349,8,0,693
0,2,1,0,15,0,0,,0,,0,
0,0,2,0,5.083,0,1,15,0.739,2,0,894
1,2,0,0,15,0,0,,0,,0,
1,0,1,0,0.657,0,2,16,1.671,3,0,947
1,2,0,0,15,0,0,,0,,0,
1,1,1,0,3.317,0,2,4,0.726,19,1,872
1,0,2,0,2.605,0,2,20,0.561,4,0,289
2,1,0,0,3.202,0,2,5,0.721,19,0,872
2,2,1,0,15,0,0,,0,,0,
2,1,2,0,14.321,0,0,5,1.6,6,1,125
2,2,3,0,15,0,0,,0,,0,
