game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,12.138,0,0,17,2.835,17,0,373
0,0,1,0,12.788,0,0,14,1.049,1,0,947
0,1,0,0,8.55,0,1,6,1.906,6,0,906
0,2,1,0,15,0,0,,0,,0,
0,0,2,0,4.381,0,2,9,0.799,2,0,693
1,0,0,0,7.917,0,1,10,1.102,3,0,537
1,0,0,0,7.737,0,1,7,0.66,4,0,391
2,1,0,0,2.126,0,2,8,1.285,8,0,135
2,2,1,0,15,0,0,,0,,0,
2,1,2,0,3.259,0,2,16,1.751,16,1,125
2,0,3,0,3.265,0,2,17,0.908,5,0,373
