game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,9.879,0,1,11,1.753,11,0,732
0,2,1,0,15,0,0,,0,,0,
0,0,2,0,4.222,0,2,8,0.963,1,0,565
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,3.439,0,2,13,0.764,2,0,499
1,2,0,0,15,0,0,,0,,0,
1,1,1,0,0.0,0,2,3,0.0,14,1,311
1,2,2,0,15,0,0,,0,,1,
1,0,3,0,0.0,0,2,17,0.0,3,0,321
1,0,0,0,7.867,0,1,14,1.071,4,0,311
2,1,0,0,12.863,0,0,5,0.336,10,0,135
2,0,1,0,10.237,0,0,16,0.896,5,0,177
